사업명,집행차수,과제/사업단명,비목,보조비목,보조세목,최초배정액,예산증감액,이월금,비고
미래형 광주 커뮤니티 아카데미 운영,1차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,8600000,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,8600000,0,8600000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,0,0,17200000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,0,0,17200000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,0,0,17200000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,2400000,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,2400000,0,2400000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,0,0,4800000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,0,0,4800000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,0,0,4800000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,5000000,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,5000000,0,5000000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,0,0,10000000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,0,0,10000000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,0,0,10000000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,지식재산(IP) 평생교육 아카데미,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,3430000,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,지식재산(IP) 평생교육 아카데미,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,3430000,0,3430000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,지식재산(IP) 평생교육 아카데미,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,0,0,6860000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,지식재산(IP) 평생교육 아카데미,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,0,0,6860000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,지식재산(IP) 평생교육 아카데미,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,0,0,6860000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,570000,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,570000,0,570000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,0,0,1140000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,0,0,1140000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,지식재산(IP) 평생교육 아카데미,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,0,0,1140000,
대학 자원 공유 커뮤니버시티 운영,2차년도,본과제(커뮤니버시티 운영),인건비,인건비(보수),보수,72000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,본과제(커뮤니버시티 운영),성과 활용 확산 지원비,운영비(일반수용비),일반수용비,2700000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,본과제(커뮤니버시티 운영),간접비,간접비,간접비,13200000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,본과제(커뮤니버시티 운영),교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,60000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,본과제(커뮤니버시티 운영),교육 연구 환경개선비,운영비(일반용역비),일반용역비,50000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,본과제(커뮤니버시티 운영),실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,15000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,본과제(커뮤니버시티 운영),그 밖의 사업운영 경비,운영비(일반수용비),일반수용비,4000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,본과제(커뮤니버시티 운영),그 밖의 사업운영 경비,여비(국내여비),국내여비,3100000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,인건비,인건비(보수),보수,106817060,0,0,None
미래형 광주 커뮤니티 아카데미 운영,2차년도,미래형 광주 커뮤니티 아카데미 운영,인건비,인건비(보수),보수,166000000,0,166000000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,미래형 광주 커뮤니티 아카데미 운영,인건비,인건비(보수),보수,0,0,332000000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,미래형 광주 커뮤니티 아카데미 운영,인건비,인건비(보수),보수,0,0,332000000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,미래형 광주 커뮤니티 아카데미 운영,인건비,인건비(보수),보수,0,0,332000000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,성과 활용 확산 지원비,운영비(일반용역비),일반용역비,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,미래형 광주 커뮤니티 아카데미 운영,성과 활용 확산 지원비,운영비(일반용역비),일반용역비,14900000,0,14900000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,미래형 광주 커뮤니티 아카데미 운영,성과 활용 확산 지원비,운영비(일반용역비),일반용역비,0,0,29800000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,미래형 광주 커뮤니티 아카데미 운영,성과 활용 확산 지원비,운영비(일반용역비),일반용역비,0,0,29800000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,미래형 광주 커뮤니티 아카데미 운영,성과 활용 확산 지원비,운영비(일반용역비),일반용역비,0,0,29800000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,간접비,간접비,간접비,24600000,0,0,None
미래형 광주 커뮤니티 아카데미 운영,2차년도,미래형 광주 커뮤니티 아카데미 운영,간접비,간접비,간접비,24600000,0,24600000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,미래형 광주 커뮤니티 아카데미 운영,간접비,간접비,간접비,0,0,49200000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,미래형 광주 커뮤니티 아카데미 운영,간접비,간접비,간접비,0,0,49200000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,미래형 광주 커뮤니티 아카데미 운영,간접비,간접비,간접비,0,0,49200000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,74100000,0,0,None
미래형 광주 커뮤니티 아카데미 운영,2차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,404450000,0,404450000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,0,0,808900000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,0,0,808900000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,0,0,808900000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 환경개선비,운영비(일반용역비),일반용역비,58900000,0,0,None
미래형 광주 커뮤니티 아카데미 운영,2차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 환경개선비,운영비(일반용역비),일반용역비,30000000,0,30000000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 환경개선비,운영비(일반용역비),일반용역비,0,0,60000000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 환경개선비,운영비(일반용역비),일반용역비,0,0,60000000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,미래형 광주 커뮤니티 아카데미 운영,교육 연구 환경개선비,운영비(일반용역비),일반용역비,0,0,60000000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,93943080,0,0,None
미래형 광주 커뮤니티 아카데미 운영,2차년도,미래형 광주 커뮤니티 아카데미 운영,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,30000000,0,30000000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,미래형 광주 커뮤니티 아카데미 운영,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,0,0,60000000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,미래형 광주 커뮤니티 아카데미 운영,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,0,0,60000000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,미래형 광주 커뮤니티 아카데미 운영,실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,0,0,60000000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,지역 연계협업 지원비,운영비(일반용역비),일반용역비,19950000,0,0,None
미래형 광주 커뮤니티 아카데미 운영,2차년도,미래형 광주 커뮤니티 아카데미 운영,지역 연계협업 지원비,운영비(일반용역비),일반용역비,22000000,0,22000000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,미래형 광주 커뮤니티 아카데미 운영,지역 연계협업 지원비,운영비(일반용역비),일반용역비,0,0,44000000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,미래형 광주 커뮤니티 아카데미 운영,지역 연계협업 지원비,운영비(일반용역비),일반용역비,0,0,44000000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,미래형 광주 커뮤니티 아카데미 운영,지역 연계협업 지원비,운영비(일반용역비),일반용역비,0,0,44000000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,운영비(일반수용비),일반수용비,13666380,0,0,None
미래형 광주 커뮤니티 아카데미 운영,2차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,운영비(일반수용비),일반수용비,7000000,0,7000000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,운영비(일반수용비),일반수용비,0,0,14000000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,운영비(일반수용비),일반수용비,0,0,14000000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,운영비(일반수용비),일반수용비,0,0,14000000,
미래형 광주 커뮤니티 아카데미 운영,1차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,여비(국내여비),국내여비,2131000,0,0,None
미래형 광주 커뮤니티 아카데미 운영,2차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,여비(국내여비),국내여비,3000000,0,3000000,
미래형 광주 커뮤니티 아카데미 운영,3차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,여비(국내여비),국내여비,0,0,6000000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,여비(국내여비),국내여비,0,0,6000000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,미래형 광주 커뮤니티 아카데미 운영,그 밖의 사업운영 경비,여비(국내여비),국내여비,0,0,6000000,
대학 자원 공유 커뮤니버시티 운영,2차년도,(박물관)지역-대학-박물관 열린 문화 체험,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,10060000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(박물관)지역-대학-박물관 열린 문화 체험,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반용역비,8940000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(박물관)지역-대학-박물관 열린 문화 체험,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,1000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(리걸클리닉센터)지역민 생활법률지원,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,18640000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(리걸클리닉센터)지역민 생활법률지원,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,360000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(생물학과)유·초등학생 대상 교내 생태탐방 프로그램,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,8500000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(생물학과)유·초등학생 대상 교내 생태탐방 프로그램,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,11500000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(수의학과)반려동물과 함께하는 지역 상생 자원 공유 커뮤니버시티 구축 및 운영,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,19000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(스포츠센터)AI 기반 스마트 헬스 플랫폼을 활용한 시민 건강체력 증진사업,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,1080000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(스포츠센터)AI 기반 스마트 헬스 플랫폼을 활용한 시민 건강체력 증진사업,교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,16500000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(스포츠센터)AI 기반 스마트 헬스 플랫폼을 활용한 시민 건강체력 증진사업,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,120000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(스포츠센터)AI 기반 스마트 헬스 플랫폼을 활용한 시민 건강체력 증진사업,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,300000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(특수교육학부)장애학생 CNU 캠퍼스 탐방,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,18600000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(특수교육학부)장애학생 CNU 캠퍼스 탐방,교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,200000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(특수교육학부)장애학생 CNU 캠퍼스 탐방,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,1200000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(치의학전문대학원)보건의료 자원공유 커뮤니버시티 운영,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,12680000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(치의학전문대학원)보건의료 자원공유 커뮤니버시티 운영,교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,200000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(치의학전문대학원)보건의료 자원공유 커뮤니버시티 운영,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,3000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(치의학전문대학원)보건의료 자원공유 커뮤니버시티 운영,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,3120000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(문헌정보학과)찾아가는 어린이 정보활용교육,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,11800000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(문헌정보학과)찾아가는 어린이 정보활용교육,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,1000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(문헌정보학과)찾아가는 어린이 정보활용교육,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,200000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(문헌정보학과)찾아가는 어린이 정보활용교육,지역 연계협업 지원비,운영비(일반수용비),일반수용비,3000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(문헌정보학과)찾아가는 어린이 정보활용교육,성과 활용 확산 지원비,운영비(일반수용비),일반수용비,2000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(농업실습교육원)지역민과 함께하는 도시농업 텃밭,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,11000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(농업실습교육원)지역민과 함께하는 도시농업 텃밭,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,6000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(농업실습교육원)지역민과 함께하는 도시농업 텃밭,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,1000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(농업실습교육원)지역민과 함께하는 도시농업 텃밭,교육 연구 환경개선비,운영비(시설장비유지비),시설장비유지비,2000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(철학과)대학 전문 교육 인프라를 활용한 지역 청소년 철학 교육,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,15000000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(철학과)대학 전문 교육 인프라를 활용한 지역 청소년 철학 교육,교육 연구 프로그램개발 운영비,업무추진비(사업추진비),사업추진비,0,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(농업실습교육원)지역사회 상생을 위한 지속가능한 미래형 농업교육 활성화,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,7500000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(농업실습교육원)지역사회 상생을 위한 지속가능한 미래형 농업교육 활성화,교육 연구 프로그램개발 운영비,운영비(재료비),재료비,4400000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(농업실습교육원)지역사회 상생을 위한 지속가능한 미래형 농업교육 활성화,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,1600000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(농업실습교육원)지역사회 상생을 위한 지속가능한 미래형 농업교육 활성화,교육 연구 환경개선비,운영비(시설장비유지비),시설장비유지비,1500000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(공익인권법센터)함께하는 시민 인권강좌,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,14300000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(공익인권법센터)함께하는 시민 인권강좌,교육 연구 프로그램개발 운영비,운영비(임차료),임차료,300000,0,0,
대학 자원 공유 커뮤니버시티 운영,2차년도,(공익인권법센터)함께하는 시민 인권강좌,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,2400000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,14340000,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,14340000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(공공요금및제세),일반수용비,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,3차년도,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(공공요금및제세),일반수용비,0,0,2200000,
미래형 광주 커뮤니티 아카데미 운영,4차년도,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(공공요금및제세),일반수용비,0,0,2200000,
미래형 광주 커뮤니티 아카데미 운영,5차년도,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(공공요금및제세),일반수용비,0,0,2200000,
