비목,보조비목,보조세목,설명
인건비,인건비(보수),보수,
인건비,운영비(복리후생비),복리후생비,
교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,
교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,
교육 연구 프로그램개발 운영비,운영비(임차료),임차료,
교육 연구 프로그램개발 운영비,운영비(재료비),재료비,
교육 연구 프로그램개발 운영비,운영비(일반용역비),일반용역비,
교육 연구 프로그램개발 운영비,운영비(기타운영비),기타운영비,
교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,
교육 연구 프로그램개발 운영비,여비(국외여비),국외여비,
교육 연구 환경개선비,운영비(시설장비유지비),시설장비유지비,
교육 연구 환경개선비,운영비(일반용역비),일반용역비,
교육 연구 환경개선비,건설비(실시설계비),실시설계비,
교육 연구 환경개선비,건설비(시설비),시설비,
실험 실습 장비 및 기자재 구입 운영비,운영비(임차료),임차료,
실험 실습 장비 및 기자재 구입 운영비,운영비(시설장비유지비),시설장비유지비,
실험 실습 장비 및 기자재 구입 운영비,유형자산(자산취득비),자산취득비,
지역 연계협업 지원비,운영비(일반수용비),일반수용비,
지역 연계협업 지원비,운영비(재료비),재료비,
지역 연계협업 지원비,운영비(일반용역비),일반용역비,
지역 연계협업 지원비,여비(국내여비),국내여비,
지역 연계협업 지원비,여비(국외여비),국외여비,
기업 지원 협력 활동비,운영비(보수),보수,
기업 지원 협력 활동비,운영비(일반수용비),일반수용비,
기업 지원 협력 활동비,운영비(임차료,임차료,
기업 지원 협력 활동비,운영비(재료비),재료비,
기업 지원 협력 활동비,운영비(일반용역비),일반용역비,
기업 지원 협력 활동비,여비(국내여비),국내여비,
기업 지원 협력 활동비,여비(국외여비),국외여비,
기업 지원 협력 활동비,연구개발비(연구개발비),연구개발비,
성과 활용 확산 지원비,운영비(일반수용비),일반수용비,
성과 활용 확산 지원비,운영비(임차료),임차료,
성과 활용 확산 지원비,운영비(재료비),재료비,
성과 활용 확산 지원비,운영비(일반용역비),일반용역비,
성과 활용 확산 지원비,여비(국내여비),국내여비,
성과 활용 확산 지원비,여비(국외여비),국외여비,
그 밖의 사업운영 경비,운영비(기타운영비),기타운영비,
그 밖의 사업운영 경비,운영비(일반수용비),일반수용비,
그 밖의 사업운영 경비,운영비(공공요금및제세),공공요금및제세,
그 밖의 사업운영 경비,운영비(임차료),임차료,
그 밖의 사업운영 경비,운영비(일반용역비),일반용역비,
그 밖의 사업운영 경비,여비(국내여비),국내여비,
그 밖의 사업운영 경비,여비(국외여비),국외여비,
그 밖의 사업운영 경비,업무추진비(사업추진비),사업추진비,
그 밖의 사업운영 경비,업무추진비(기관업무비),기관업무비,
그 밖의 사업운영 경비,건설비(실시설계비),실시설계비,
그 밖의 사업운영 경비,건설비(시설비),시설비,
그 밖의 사업운영 경비,유형자산(자산취득비),자산취득비,
간접비,간접비,간접비,
