사업명,No,집행차수,단위과제,지표명,실적일자,활동/상세내역,상세실적값,실적증빙/비고
대학 자원 공유 커뮤니버시티 운영,2,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 건수,2026-06-09,CNU 캠퍼스 브릿지(Share Bridge),1.0,00명 참여
대학 자원 공유 커뮤니버시티 운영,3,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 건수,2026-06-25,CNU 캠퍼스 브릿지(Dream Bridge),1.0,00명 참여
대학 자원 공유 커뮤니버시티 운영,4,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 건수,2026-06-26,CNU 캠퍼스 브릿지(Green Bridge),1.0,00명 참여
대학 자원 공유 커뮤니버시티 운영,8,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 건수,2026-06-02,꽃대어른학교(어른무용가),1.0,10명 참여
대학 자원 공유 커뮤니버시티 운영,9,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 건수,2026-06-02,꽃대어른학교(평생학습 설계 교육),1.0,42명 참여
대학 자원 공유 커뮤니버시티 운영,10,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 건수,2026-06-04,꽃대어른학교(AI 인터뷰 커뮤니버시티 활용 교육),1.0,71명 참여
대학 자원 공유 커뮤니버시티 운영,5,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 활용 건수,2026-06-09,CNU 캠퍼스 브릿지(Share Bridge),1.0,프로그램 2회 진행
대학 자원 공유 커뮤니버시티 운영,6,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 활용 건수,2026-06-25,CNU 캠퍼스 브릿지(Dream Bridge),1.0,프로그램 1회 진행
대학 자원 공유 커뮤니버시티 운영,7,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 활용 건수,2026-06-26,CNU 캠퍼스 브릿지(Green Bridge),1.0,프로그램 2회 진행
대학 자원 공유 커뮤니버시티 운영,11,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 활용 건수,2026-06-02,꽃대어른학교(어른무용가),1.0,프로그램 10회 진행
대학 자원 공유 커뮤니버시티 운영,12,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 활용 건수,2026-06-02,꽃대어른학교(평생학습 설계 교육),1.0,프로그램 5회 진행
대학 자원 공유 커뮤니버시티 운영,13,2차년도,4-1,커뮤니버시티 관리 시스템 등록 자원 활용 건수,2026-06-04,꽃대어른학교(AI기록 인터뷰 커뮤니버시티 활용 교육),1.0,프로그램 5회 진행
대학 자원 공유 커뮤니버시티 운영,14,2차년도,4-3,학위과정 성인학습자 이수자 수,2026-07-30,사회복지사 과정 이수자 수,14.0,30세 이상
대학 자원 공유 커뮤니버시티 운영,18,2차년도,4-3,DX 고급과정(45시간 이상) 이수자 수,2026-08-05,지역사회 기반 중장년 공감형 AI강상 양성,27.0,45시간 이상 교육과정
대학 자원 공유 커뮤니버시티 운영,20,2차년도,4-3,성인학습자 자격증 취득 개수,2026-08-05,지역사회 기반 중장년 공감형 AI강사 양성,27.0,
대학 자원 공유 커뮤니버시티 운영,17,2차년도,4-3,비학위과정 성인학습자 이수자 수,2026-08-05,지역사회 기반 중장년 공감형 AI강사 양성,27.0,이수자 수
대학 자원 공유 커뮤니버시티 운영,21,2차년도,4-3,비학위과정 성인학습자 이수자 수,2026-08-18,AI로 여는 스마트 디지털 업무 역량 강화,63.0,이수자 수
대학 자원 공유 커뮤니버시티 운영,15,2차년도,4-3,DX 초급과정(30시간 미만) 이수자 수,2026-07-30,사회복지사양성과정,19.0,사회복지사양성과정 (디지털리터러시와 챗 GPT)
대학 자원 공유 커뮤니버시티 운영,22,2차년도,4-3,DX 초급과정(30시간 미만) 이수자 수,2026-08-18,AI로 여는 스마트 디지털 업무역량 강화,63.0,이수자 수
대학 자원 공유 커뮤니버시티 운영,1,2차년도,4-1,커뮤니버시티 프로그램 지역민 만족도,2026-08-05,CNU 캠퍼스 브릿지 프로그램 만족도,97.5,프로그램 만족도 00명
대학 자원 공유 커뮤니버시티 운영,16,2차년도,4-3,교육 프로그램 참여자 만족도,2026-07-30,사회복지사양성과정,97.42,4.871점에서 100점 환산
대학 자원 공유 커뮤니버시티 운영,19,2차년도,4-3,교육 프로그램 참여자 만족도,2026-08-05,지역사회 기반 중장년 공감형 AI 강사 양성,95.5,
대학 자원 공유 커뮤니버시티 운영,23,2차년도,4-3,교육 프로그램 참여자 만족도,2026-08-18,AI로 여는 스마트 디지털 업무 역량 강화,94.7,
