No,지표구분,단위과제,지표번호,지표명,단위,가중치,기준값,목푯값_1차,목푯값_2차,목푯값_3차,목푯값_4차,목푯값_5차,실적값_1차,실적값_2차,실적값_3차,실적값_4차,실적값_5차,컨소_기준값,컨소_목푯값_1차,컨소_목푯값_2차,컨소_목푯값_3차,컨소_목푯값_4차,컨소_목푯값_5차,컨소_실적값_1차,컨소_실적값_2차,컨소_실적값_3차,컨소_실적값_4차,컨소_실적값_5차,비고
41,공통,1-1,1,졸업생 지역 정주율,%,,,,,,,,,,,,,,,,,,,,,,,,
44,공통,1-1,2,지역산업 연계 교육과정 이수자 수,명,,2085.0,2202.0,2202.0,,,,3157.5,,,,,,,,,,,,,,,,
48,공통,1-1,3,맞춤형 실무 교육 이수자 수,명,,165.0,172.0,172.0,,,,207.6,,,,,,,,,,,,,,,,
42,공통,1-1,1-A,졸업생 지역 내 취업률,%,0.6,,,,,,,,,,,,,,,,,,,,,,,
43,공통,1-1,1-B,졸업생 지역 내 2차 유지 취업률,%,0.4,,,,,,,,,,,,,,,,,,,,,,,
45,공통,1-1,2-A,36학점 이상의 교육과정 이수자수,명,1,437.0,460.0,460.0,,,,155.0,,,,,,,,,,,,,,,,
46,공통,1-1,2-B,12학점 이상 ~ 36학점 미만의 교육과정 이수자 수,명,0.5,2617.0,2770.0,2770.0,,,,2928.0,,,,,,,,,,,,,,,,
47,공통,1-1,2-C,12학점 미만의 교육과정 이수자 수,명,0.5,1698.0,1785.0,1785.0,,,,3077.0,,,,,,,,,,,,,,,,
49,공통,1-1,3-A,지역산업 연계 캡스톤디자인 이수자 수,명,0.05,2638.0,2695.0,2695.0,,,,2906.0,,,,,,,,,,,,,,,,
50,공통,1-1,3-B,4주 이상 표준현장실습 이수자 수,명,0.2,51.0,52.0,52.0,,,,34.0,,,,,,,,,,,,,,,,
51,공통,1-1,3-C,8주 이상 표준현장실습 이수자 수,명,0.3,51.0,55.0,55.0,,,,80.0,,,,,,,,,,,,,,,,
52,공통,1-1,3-D,12주 이상 표준현장실습 이수자 수,명,0.45,22.0,23.0,23.0,,,,70.0,,,,,,,,,,,,,,,,
53,공통,1-2,4,M E C A 분야 석/박사 졸업생 수,명,,207.0,108.5,108.5,,,,185.0,,,,,,,,,,,,,,,,
56,공통,1-2,5,기업 재직자 산학협력 프로젝트 과정 이수자 수,명,,294.0,155.5,155.5,,,,166.0,,,,,,,,,,,,,,,,
59,공통,1-2,6,M E C A 분야 글로벌 인재 양성 지수,명,,275.0,137.5,137.5,,,,173.5,,,,,,,,,,,,,,,,
54,공통,1-2,4-A,M E C A분야 학과(전공) 석사 졸업생 수,명,0.5,218.0,117.0,117.0,,,,226.0,,,,,,,,,,,,,,,,
55,공통,1-2,4-B,M E C A분야 학과(전공) 박사 졸업생 수,명,1,98.0,50.0,50.0,,,,72.0,,,,,,,,,,,,,,,,
57,공통,1-2,5-A,학위과정 이수의 M E C A 분야 기업 재직자 수,명,1,124.0,65.0,65.0,,,,113.0,,,,,,,,,,,,,,,,
58,공통,1-2,5-B,비학위과정 이수자의 M E C A 분야 기업 재직자 수,명,0.5,341.0,181.0,181.0,,,,106.0,,,,,,,,,,,,,,,,
60,공통,1-2,6-A,M E C A 분야 해외 공동학위제 석/박사 학위자 수,명,1,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,
61,공통,1-2,6-B,M E C A 분야 석/박사과정 해외 파견 학생 수,명,0.5,30.0,15.0,15.0,,,,5.0,,,,,,,,,,,,,,,,
62,공통,1-2,6-C,M E C A 분야 석/박사과정 학생의 국제전문논문 실적,건,1,260.0,130.0,130.0,,,,171.0,,,,,,,,,,,,,,,,
63,공통,1-4,7,교육과정 혁신에 따른 신규 과목 프로그램 도입 여부,,,,,,,,,,,,,,,,,,,,,,,,,
